Market_Value,Height_cm,Position,Age,National_Matches,National_Goals
700000.0,190.0,Goalkeeper,35.0,7.0,0.0
400000.0,187.0,Attack,41.0,40.0,11.0
10000.0,190.0,Attack,39.0,0.0,0.0
100000.0,193.0,Goalkeeper,37.0,2.0,0.0
25000.0,168.0,Attack,35.0,0.0,0.0
800000.0,190.0,Goalkeeper,38.0,162.0,0.0
500000.0,189.0,Attack,36.0,52.0,20.0
50000.0,181.0,Defender,40.0,16.0,1.0
25000.0,171.0,Attack,38.0,17.0,2.0
75000.0,189.0,Defender,37.0,3.0,0.0
25000.0,178.0,Midfield,35.0,17.0,0.0
50000.0,190.0,Goalkeeper,36.0,18.0,0.0
100000.0,188.0,Goalkeeper,36.0,10.0,0.0
25000.0,161.0,Midfield,38.0,6.0,3.0
1000000.0,183.0,Attack,35.0,96.0,42.0
75000.0,188.0,Defender,35.0,55.0,0.0
10000.0,190.0,Defender,39.0,0.0,0.0
600000.0,190.0,Goalkeeper,38.0,66.0,0.0
4000000.0,177.0,Midfield,35.0,161.0,58.0
500000.0,180.0,Attack,36.0,164.0,52.0
275000.0,187.0,Goalkeeper,35.0,0.0,0.0
175000.0,190.0,Defender,34.0,8.0,0.0
500000.0,182.0,Midfield,35.0,53.0,25.0
3000000.0,175.0,Midfield,36.0,158.0,50.0
50000.0,185.0,Goalkeeper,38.0,0.0,0.0
50000.0,183.0,Goalkeeper,38.0,14.0,0.0
1000000.0,187.0,Attack,36.0,93.0,40.0
250000.0,182.0,Midfield,38.0,0.0,0.0
200000.0,170.0,Midfield,37.0,13.0,1.0
50000.0,183.0,Midfield,36.0,0.0,0.0
18000000.0,189.0,Attack,32.0,0.0,0.0
125000.0,194.0,Goalkeeper,37.0,3.0,0.0
50000.0,173.0,Defender,38.0,1.0,0.0
350000.0,176.0,Midfield,36.0,9.0,0.0
50000.0,180.0,Attack,39.0,11.0,0.0
400000.0,185.0,Defender,36.0,48.0,4.0
25000.0,181.0,Goalkeeper,38.0,0.0,0.0
50000.0,178.0,Attack,37.0,19.0,4.0
50000.0,181.0,Midfield,37.0,8.0,1.0
1000000.0,196.0,Goalkeeper,37.0,73.0,0.0
200000.0,194.0,Goalkeeper,37.0,31.0,0.0
100000.0,185.0,Attack,35.0,9.0,3.0
500000.0,176.0,Defender,36.0,50.0,2.0
200000.0,183.0,Midfield,35.0,32.0,3.0
125000.0,182.0,Attack,38.0,13.0,5.0
750000.0,188.0,Defender,40.0,0.0,0.0
10000.0,186.0,Attack,42.0,0.0,0.0
750000.0,175.0,Attack,38.0,81.0,9.0
200000.0,182.0,Attack,41.0,151.0,61.0
1000000.0,187.0,Goalkeeper,40.0,119.0,0.0
100000.0,192.0,Midfield,40.0,10.0,1.0
500000.0,189.0,Goalkeeper,40.0,141.0,0.0
4000000.0,193.0,Goalkeeper,40.0,160.0,0.0
50000.0,175.0,Midfield,39.0,92.0,3.0
7000000.0,185.0,Attack,39.0,132.0,57.0
500000.0,188.0,Goalkeeper,37.0,38.0,0.0
200000.0,187.0,Defender,45.0,32.0,0.0
25000.0,190.0,Goalkeeper,43.0,0.0,0.0
150000.0,192.0,Defender,38.0,0.0,0.0
50000.0,187.0,Defender,40.0,5.0,0.0
50000.0,170.0,Midfield,40.0,80.0,7.0
4000000.0,172.0,Midfield,41.0,225.0,31.0
25000.0,193.0,Goalkeeper,39.0,0.0,0.0
1600000.0,193.0,Attack,40.0,152.0,72.0
500000.0,185.0,Goalkeeper,41.0,167.0,0.0
150000.0,192.0,Goalkeeper,40.0,1.0,0.0
500000.0,180.0,Midfield,38.0,0.0,0.0
25000.0,171.0,Attack,36.0,0.0,0.0
75000.0,177.0,Attack,37.0,26.0,2.0
200000.0,168.0,Midfield,42.0,87.0,16.0
175000.0,179.0,Midfield,32.0,0.0,0.0
1250000.0,198.0,Goalkeeper,43.0,35.0,0.0
1000000.0,188.0,Goalkeeper,40.0,172.0,0.0
100000.0,191.0,Goalkeeper,39.0,6.0,0.0
50000.0,179.0,Defender,38.0,6.0,0.0
50000.0,175.0,Midfield,38.0,44.0,11.0
10000.0,188.0,Goalkeeper,43.0,11.0,0.0
100000.0,188.0,Goalkeeper,46.0,5.0,0.0
500000.0,184.0,Attack,34.0,44.0,18.0
50000.0,180.0,Defender,38.0,0.0,0.0
25000.0,190.0,Goalkeeper,40.0,0.0,0.0
200000.0,192.0,Goalkeeper,39.0,36.0,0.0
150000.0,188.0,Goalkeeper,43.0,4.0,0.0
10000.0,171.0,Midfield,43.0,6.0,0.0
100000.0,187.0,Goalkeeper,42.0,3.0,0.0
400000.0,175.0,Attack,39.0,0.0,0.0
100000.0,186.0,Goalkeeper,38.0,13.0,0.0
700000.0,181.0,Defender,42.0,0.0,0.0
600000.0,170.0,Midfield,40.0,188.0,10.0
25000.0,184.0,Goalkeeper,45.0,78.0,0.0
100000.0,187.0,Attack,40.0,0.0,0.0
50000.0,190.0,Goalkeeper,39.0,8.0,0.0
300000.0,183.0,Attack,39.0,15.0,2.0
100000.0,191.0,Defender,43.0,52.0,1.0
200000.0,188.0,Goalkeeper,40.0,22.0,0.0
50000.0,187.0,Defender,40.0,64.0,2.0
75000.0,190.0,Defender,39.0,0.0,0.0
100000.0,179.0,Midfield,40.0,121.0,27.0
2000000.0,180.0,Midfield,37.0,0.0,0.0
50000.0,184.0,Attack,39.0,14.0,1.0
100000.0,176.0,Midfield,38.0,25.0,5.0
250000.0,189.0,Goalkeeper,39.0,53.0,0.0
100000.0,183.0,Attack,38.0,0.0,0.0
2200000.0,181.0,Attack,38.0,135.0,25.0
75000.0,185.0,Defender,41.0,0.0,0.0
10000.0,192.0,Midfield,39.0,20.0,2.0
100000.0,189.0,Defender,39.0,41.0,5.0
600000.0,188.0,Defender,37.0,132.0,11.0
50000.0,181.0,Attack,41.0,56.0,20.0
100000.0,174.0,Defender,37.0,0.0,0.0
275000.0,180.0,Midfield,36.0,3.0,1.0
200000.0,197.0,Goalkeeper,38.0,31.0,0.0
800000.0,186.0,Defender,34.0,35.0,1.0
100000.0,185.0,Goalkeeper,36.0,16.0,0.0
10000.0,189.0,Defender,38.0,0.0,0.0
50000.0,182.0,Midfield,37.0,6.0,0.0
50000.0,185.0,Defender,40.0,0.0,0.0
150000.0,173.0,Midfield,38.0,76.0,2.0
3000000.0,192.0,Attack,37.0,135.0,44.0
150000.0,190.0,Goalkeeper,36.0,33.0,0.0
250000.0,183.0,Attack,37.0,56.0,15.0
50000.0,191.0,Goalkeeper,41.0,39.0,0.0
50000.0,177.0,Midfield,38.0,92.0,12.0
25000.0,168.0,Midfield,40.0,27.0,1.0
400000.0,170.0,Midfield,38.0,91.0,33.0
25000.0,190.0,Goalkeeper,39.0,0.0,0.0
50000.0,170.0,Midfield,40.0,20.0,1.0
500000.0,185.0,Midfield,37.0,36.0,6.0
25000.0,176.0,Attack,39.0,59.0,9.0
50000.0,180.0,Midfield,36.0,56.0,4.0
25000.0,191.0,Defender,39.0,1.0,0.0
50000.0,183.0,Attack,43.0,0.0,0.0
100000.0,176.0,Attack,35.0,8.0,0.0
50000.0,170.0,Midfield,39.0,28.0,13.0
700000.0,184.0,Defender,37.0,138.0,7.0
5000000.0,190.0,Attack,35.0,37.0,6.0
50000.0,190.0,Goalkeeper,37.0,1.0,0.0
100000.0,190.0,Goalkeeper,38.0,0.0,0.0
50000.0,192.0,Goalkeeper,38.0,2.0,0.0
300000.0,168.0,Defender,37.0,12.0,0.0
150000.0,183.0,Midfield,36.0,33.0,1.0
75000.0,185.0,Midfield,36.0,0.0,0.0
200000.0,195.0,Goalkeeper,37.0,23.0,0.0
100000.0,178.0,Attack,34.0,27.0,5.0
50000.0,188.0,Goalkeeper,38.0,0.0,0.0
350000.0,187.0,Defender,36.0,29.0,1.0
300000.0,179.0,Defender,36.0,33.0,0.0
50000.0,186.0,Midfield,36.0,0.0,0.0
150000.0,175.0,Defender,37.0,21.0,0.0
600000.0,178.0,Midfield,36.0,117.0,26.0
50000.0,189.0,Goalkeeper,36.0,17.0,0.0
2000000.0,190.0,Attack,36.0,82.0,41.0
10000.0,188.0,Attack,37.0,67.0,21.0
25000.0,194.0,Goalkeeper,39.0,5.0,0.0
350000.0,182.0,Midfield,36.0,1.0,0.0
325000.0,175.0,Attack,38.0,114.0,53.0
25000.0,180.0,Attack,36.0,16.0,3.0
300000.0,186.0,Defender,38.0,148.0,8.0
25000.0,176.0,Attack,42.0,0.0,0.0
175000.0,185.0,Defender,35.0,0.0,0.0
100000.0,183.0,Attack,40.0,6.0,1.0
50000.0,183.0,Attack,36.0,21.0,7.0
125000.0,185.0,Attack,39.0,6.0,0.0
50000.0,192.0,Goalkeeper,38.0,124.0,0.0
50000.0,177.0,Attack,36.0,0.0,0.0
1500000.0,174.0,Midfield,37.0,27.0,3.0
50000.0,170.0,Midfield,46.0,19.0,2.0
200000.0,191.0,Defender,39.0,4.0,0.0
75000.0,195.0,Goalkeeper,39.0,22.0,0.0
150000.0,188.0,Goalkeeper,38.0,8.0,0.0
50000.0,192.0,Attack,39.0,42.0,12.0
100000.0,184.0,Defender,40.0,21.0,0.0
25000.0,183.0,Defender,39.0,1.0,0.0
75000.0,183.0,Defender,38.0,101.0,4.0
2000000.0,186.0,Defender,37.0,0.0,0.0
100000.0,186.0,Attack,37.0,20.0,6.0
50000.0,180.0,Midfield,39.0,1.0,0.0
400000.0,181.0,Midfield,40.0,56.0,1.0
50000.0,188.0,Attack,39.0,0.0,0.0
50000.0,175.0,Attack,46.0,0.0,0.0
100000.0,183.0,Attack,38.0,68.0,22.0
50000.0,183.0,Defender,44.0,5.0,1.0
75000.0,194.0,Goalkeeper,37.0,0.0,0.0
50000.0,172.0,Attack,39.0,23.0,3.0
10000.0,176.0,Defender,41.0,0.0,0.0
50000.0,188.0,Attack,42.0,39.0,7.0
150000.0,177.0,Attack,40.0,118.0,41.0
10000.0,196.0,Attack,38.0,0.0,0.0
500000.0,193.0,Attack,38.0,1.0,0.0
10000.0,170.0,Attack,45.0,60.0,21.0
10000.0,180.0,Midfield,42.0,87.0,0.0
1500000.0,169.0,Attack,38.0,182.0,55.0
10000.0,168.0,Attack,43.0,0.0,0.0
100000.0,167.0,Midfield,42.0,52.0,8.0
300000.0,186.0,Goalkeeper,38.0,0.0,0.0
25000.0,185.0,Defender,38.0,6.0,0.0
50000.0,199.0,Goalkeeper,39.0,1.0,0.0
200000.0,184.0,Defender,37.0,0.0,0.0
200000.0,177.0,Midfield,39.0,7.0,0.0
300000.0,177.0,Midfield,38.0,48.0,7.0
1500000.0,186.0,Attack,37.0,163.0,40.0
200000.0,183.0,Defender,38.0,63.0,1.0
800000.0,189.0,Defender,38.0,59.0,1.0
200000.0,190.0,Goalkeeper,39.0,39.0,0.0
50000.0,191.0,Defender,37.0,0.0,0.0
50000.0,186.0,Defender,36.0,26.0,7.0
1800000.0,182.0,Attack,39.0,154.0,74.0
800000.0,186.0,Attack,38.0,26.0,10.0
400000.0,172.0,Attack,36.0,24.0,9.0
25000.0,193.0,Goalkeeper,39.0,0.0,0.0
2000000.0,178.0,Attack,38.0,162.0,38.0
100000.0,180.0,Midfield,38.0,1.0,0.0
100000.0,185.0,Midfield,38.0,1.0,0.0
175000.0,171.0,Midfield,36.0,73.0,13.0
1500000.0,191.0,Attack,37.0,92.0,29.0
125000.0,191.0,Attack,39.0,6.0,1.0
100000.0,179.0,Defender,35.0,1.0,0.0
200000.0,193.0,Attack,43.0,57.0,12.0
400000.0,183.0,Attack,37.0,107.0,43.0
100000.0,184.0,Attack,36.0,31.0,5.0
150000.0,190.0,Defender,38.0,119.0,9.0
50000.0,194.0,Goalkeeper,37.0,0.0,0.0
50000.0,187.0,Attack,38.0,9.0,1.0
75000.0,167.0,Attack,37.0,86.0,21.0
200000.0,187.0,Defender,36.0,63.0,4.0
200000.0,191.0,Defender,38.0,22.0,0.0
2000000.0,192.0,Goalkeeper,37.0,113.0,0.0
75000.0,186.0,Attack,37.0,78.0,15.0
75000.0,189.0,Defender,37.0,16.0,1.0
1000000.0,184.0,Attack,39.0,155.0,72.0
50000.0,190.0,Defender,37.0,23.0,1.0
50000.0,175.0,Midfield,38.0,35.0,1.0
50000.0,177.0,Defender,38.0,2.0,0.0
100000.0,191.0,Goalkeeper,40.0,0.0,0.0
50000.0,175.0,Attack,39.0,0.0,0.0
50000.0,189.0,Defender,38.0,0.0,0.0
100000.0,188.0,Attack,38.0,24.0,8.0
50000.0,185.0,Goalkeeper,37.0,9.0,0.0
150000.0,194.0,Attack,38.0,0.0,0.0
200000.0,175.0,Attack,39.0,70.0,8.0
125000.0,177.0,Defender,40.0,154.0,3.0
800000.0,183.0,Midfield,39.0,3.0,0.0
20000000.0,177.0,Midfield,32.0,142.0,6.0
300000.0,175.0,Midfield,36.0,83.0,18.0
800000.0,177.0,Midfield,32.0,8.0,1.0
25000.0,187.0,Defender,42.0,0.0,0.0
50000.0,180.0,Defender,38.0,5.0,0.0
200000.0,196.0,Defender,37.0,4.0,0.0
300000.0,194.0,Goalkeeper,39.0,7.0,0.0
50000.0,184.0,Defender,36.0,71.0,0.0
100000.0,193.0,Goalkeeper,37.0,0.0,0.0
100000.0,183.0,Goalkeeper,40.0,21.0,0.0
250000.0,178.0,Midfield,54.0,2.0,0.0
150000.0,169.0,Midfield,54.0,0.0,0.0
25000.0,180.0,Goalkeeper,39.0,1.0,0.0
100000.0,189.0,Goalkeeper,37.0,1.0,0.0
12000000.0,188.0,Attack,41.0,257.0,159.0
100000.0,183.0,Defender,40.0,104.0,9.0
125000.0,187.0,Defender,35.0,26.0,2.0
100000.0,188.0,Goalkeeper,43.0,3.0,0.0
50000.0,193.0,Goalkeeper,44.0,86.0,0.0
25000.0,185.0,Attack,43.0,0.0,0.0
500000.0,175.0,Defender,41.0,47.0,7.0
100000.0,188.0,Goalkeeper,41.0,34.0,0.0
300000.0,181.0,Midfield,50.0,2.0,1.0
50000.0,175.0,Attack,39.0,86.0,30.0
500000.0,188.0,Defender,43.0,13.0,2.0
10000000.0,185.0,Midfield,34.0,100.0,11.0
50000.0,187.0,Goalkeeper,42.0,6.0,0.0
600000.0,188.0,Defender,32.0,0.0,0.0
400000.0,170.0,Attack,31.0,35.0,5.0
150000.0,182.0,Midfield,34.0,63.0,6.0
100000.0,180.0,Midfield,40.0,13.0,3.0
75000.0,175.0,Midfield,38.0,11.0,0.0
50000.0,186.0,Midfield,36.0,0.0,0.0
25000.0,182.0,Defender,40.0,24.0,0.0
100000.0,192.0,Goalkeeper,40.0,20.0,0.0
50000.0,176.0,Midfield,40.0,112.0,10.0
200000.0,190.0,Goalkeeper,39.0,7.0,0.0
150000.0,191.0,Goalkeeper,41.0,8.0,0.0
75000.0,172.0,Midfield,38.0,0.0,0.0
200000.0,168.0,Midfield,35.0,34.0,9.0
150000.0,181.0,Midfield,45.0,4.0,1.0
500000.0,190.0,Goalkeeper,41.0,71.0,0.0
50000.0,172.0,Midfield,39.0,3.0,0.0
200000.0,192.0,Goalkeeper,39.0,127.0,0.0
300000.0,183.0,Goalkeeper,38.0,13.0,0.0
25000.0,194.0,Goalkeeper,41.0,16.0,0.0
1500000.0,183.0,Defender,34.0,3.0,0.0
350000.0,177.0,Defender,39.0,40.0,0.0
100000.0,174.0,Attack,37.0,9.0,4.0
750000.0,180.0,Midfield,36.0,5.0,0.0
50000.0,178.0,Midfield,36.0,10.0,0.0
2000000.0,198.0,Goalkeeper,36.0,2.0,0.0
25000.0,178.0,Defender,38.0,35.0,0.0
100000.0,187.0,Defender,36.0,55.0,2.0
100000.0,169.0,Midfield,35.0,22.0,3.0
25000.0,181.0,Defender,39.0,41.0,0.0
25000.0,182.0,Attack,38.0,17.0,4.0
200000.0,172.0,Defender,36.0,1.0,0.0
2500000.0,183.0,Defender,37.0,78.0,2.0
100000.0,190.0,Goalkeeper,36.0,26.0,0.0
400000.0,178.0,Attack,36.0,34.0,4.0
50000.0,177.0,Attack,38.0,0.0,0.0
25000.0,190.0,Attack,38.0,0.0,0.0
125000.0,196.0,Attack,38.0,0.0,0.0
25000.0,186.0,Defender,39.0,0.0,0.0
150000.0,180.0,Midfield,37.0,21.0,7.0
300000.0,185.0,Attack,36.0,23.0,11.0
2000000.0,180.0,Midfield,37.0,35.0,4.0
150000.0,176.0,Midfield,34.0,8.0,0.0
50000.0,190.0,Defender,37.0,64.0,1.0
25000.0,191.0,Attack,36.0,0.0,0.0
250000.0,191.0,Goalkeeper,36.0,0.0,0.0
50000.0,177.0,Midfield,40.0,2.0,0.0
50000.0,188.0,Midfield,39.0,8.0,0.0
100000.0,184.0,Goalkeeper,38.0,1.0,0.0
325000.0,190.0,Defender,29.0,0.0,0.0
25000.0,181.0,Defender,39.0,14.0,1.0
75000.0,178.0,Defender,36.0,3.0,0.0
3500000.0,187.0,Attack,37.0,81.0,32.0
250000.0,193.0,Goalkeeper,35.0,0.0,0.0
300000.0,190.0,Goalkeeper,38.0,0.0,0.0
150000.0,183.0,Goalkeeper,36.0,0.0,0.0
225000.0,175.0,Midfield,34.0,5.0,0.0
125000.0,181.0,Midfield,34.0,28.0,14.0
100000.0,187.0,Goalkeeper,36.0,60.0,0.0
50000.0,185.0,Attack,38.0,15.0,1.0
700000.0,179.0,Midfield,36.0,32.0,1.0
250000.0,185.0,Goalkeeper,36.0,13.0,0.0
250000.0,192.0,Defender,39.0,111.0,2.0
200000.0,181.0,Midfield,35.0,0.0,0.0
100000.0,189.0,Goalkeeper,37.0,0.0,0.0
250000.0,178.0,Defender,38.0,0.0,0.0
50000.0,190.0,Defender,36.0,6.0,0.0
650000.0,181.0,Attack,36.0,9.0,2.0
75000.0,184.0,Defender,37.0,0.0,0.0
75000.0,188.0,Defender,36.0,2.0,0.0
325000.0,182.0,Midfield,34.0,53.0,4.0
50000.0,177.0,Midfield,40.0,0.0,0.0
50000.0,182.0,Defender,37.0,0.0,0.0
125000.0,176.0,Attack,36.0,5.0,0.0
200000.0,169.0,Midfield,37.0,38.0,1.0
100000.0,175.0,Midfield,35.0,0.0,0.0
100000.0,175.0,Midfield,38.0,35.0,3.0
125000.0,179.0,Defender,36.0,0.0,0.0
50000.0,184.0,Defender,37.0,6.0,0.0
75000.0,183.0,Attack,38.0,30.0,16.0
150000.0,176.0,Attack,35.0,84.0,7.0
250000.0,188.0,Goalkeeper,36.0,83.0,0.0
550000.0,181.0,Attack,35.0,31.0,3.0
25000.0,180.0,Midfield,37.0,0.0,0.0
125000.0,175.0,Midfield,35.0,0.0,0.0
100000.0,184.0,Attack,37.0,32.0,8.0
800000.0,181.0,Attack,37.0,40.0,16.0
150000.0,191.0,Midfield,36.0,0.0,0.0
900000.0,186.0,Attack,34.0,24.0,10.0
750000.0,182.0,Midfield,35.0,41.0,2.0
50000.0,191.0,Attack,40.0,0.0,0.0
400000.0,189.0,Goalkeeper,37.0,86.0,0.0
25000.0,193.0,Goalkeeper,39.0,1.0,0.0
50000.0,186.0,Attack,43.0,130.0,46.0
1000000.0,167.0,Attack,39.0,67.0,17.0
6000000.0,178.0,Midfield,35.0,36.0,11.0
50000.0,187.0,Defender,38.0,0.0,0.0
200000.0,173.0,Attack,36.0,26.0,11.0
1500000.0,185.0,Defender,33.0,2.0,0.0
50000.0,193.0,Goalkeeper,36.0,0.0,0.0
100000.0,186.0,Attack,38.0,0.0,0.0
50000.0,173.0,Defender,35.0,2.0,0.0
600000.0,180.0,Midfield,35.0,24.0,2.0
10000.0,178.0,Midfield,40.0,0.0,0.0
800000.0,179.0,Midfield,37.0,0.0,0.0
400000.0,184.0,Midfield,37.0,16.0,1.0
11000000.0,175.0,Midfield,34.0,150.0,96.0
75000.0,191.0,Goalkeeper,38.0,0.0,0.0
400000.0,196.0,Goalkeeper,32.0,48.0,0.0
1500000.0,189.0,Attack,37.0,155.0,54.0
75000.0,198.0,Defender,36.0,20.0,3.0
75000.0,187.0,Attack,39.0,24.0,3.0
50000.0,175.0,Midfield,38.0,5.0,0.0
600000.0,189.0,Defender,34.0,10.0,1.0
250000.0,193.0,Attack,35.0,46.0,9.0
50000.0,179.0,Midfield,36.0,0.0,0.0
300000.0,188.0,Goalkeeper,33.0,4.0,0.0
125000.0,178.0,Defender,37.0,39.0,1.0
100000.0,188.0,Defender,40.0,0.0,0.0
75000.0,176.0,Midfield,35.0,0.0,0.0
100000.0,169.0,Defender,38.0,0.0,0.0
25000.0,190.0,Goalkeeper,41.0,5.0,0.0
300000.0,183.0,Goalkeeper,39.0,10.0,0.0
300000.0,185.0,Midfield,35.0,69.0,8.0
75000.0,179.0,Defender,37.0,1.0,0.0
75000.0,184.0,Midfield,36.0,23.0,1.0
50000.0,174.0,Midfield,37.0,0.0,0.0
300000.0,180.0,Attack,34.0,0.0,0.0
10000.0,190.0,Attack,40.0,0.0,0.0
350000.0,174.0,Midfield,36.0,30.0,5.0
50000.0,175.0,Midfield,36.0,14.0,8.0
100000.0,173.0,Midfield,37.0,0.0,0.0
50000.0,185.0,Midfield,36.0,34.0,6.0
150000.0,177.0,Midfield,38.0,1.0,0.0
400000.0,180.0,Attack,38.0,0.0,0.0
125000.0,187.0,Goalkeeper,37.0,20.0,0.0
50000.0,186.0,Defender,36.0,107.0,4.0
25000.0,174.0,Attack,37.0,53.0,7.0
50000.0,176.0,Midfield,37.0,0.0,0.0
100000.0,188.0,Defender,36.0,6.0,0.0
50000.0,197.0,Defender,36.0,0.0,0.0
600000.0,185.0,Goalkeeper,37.0,43.0,0.0
8000000.0,176.0,Midfield,34.0,129.0,10.0
150000.0,184.0,Attack,34.0,73.0,23.0
125000.0,188.0,Defender,38.0,4.0,1.0
50000.0,189.0,Goalkeeper,36.0,0.0,0.0
100000.0,180.0,Attack,38.0,0.0,0.0
50000.0,168.0,Attack,38.0,20.0,5.0
50000.0,176.0,Defender,34.0,25.0,1.0
4000000.0,176.0,Midfield,34.0,91.0,25.0
25000.0,183.0,Defender,41.0,1.0,0.0
25000.0,195.0,Goalkeeper,39.0,1.0,0.0
1000000.0,191.0,Goalkeeper,37.0,74.0,0.0
100000.0,173.0,Midfield,38.0,0.0,0.0
175000.0,173.0,Midfield,36.0,14.0,0.0
1000000.0,196.0,Goalkeeper,36.0,79.0,0.0
50000.0,180.0,Midfield,37.0,0.0,0.0
700000.0,185.0,Attack,36.0,35.0,13.0
100000.0,182.0,Attack,36.0,0.0,0.0
25000.0,193.0,Defender,38.0,0.0,0.0
75000.0,184.0,Midfield,32.0,0.0,0.0
200000.0,181.0,Attack,35.0,28.0,1.0
3500000.0,172.0,Attack,34.0,49.0,8.0
200000.0,179.0,Midfield,36.0,1.0,0.0
100000.0,180.0,Defender,37.0,8.0,0.0
250000.0,177.0,Defender,36.0,0.0,0.0
200000.0,183.0,Attack,35.0,26.0,3.0
50000.0,177.0,Attack,36.0,56.0,9.0
100000.0,191.0,Goalkeeper,36.0,32.0,0.0
300000.0,194.0,Defender,33.0,0.0,0.0
200000.0,194.0,Goalkeeper,37.0,0.0,0.0
550000.0,177.0,Midfield,36.0,37.0,3.0
75000.0,180.0,Midfield,35.0,4.0,0.0
1800000.0,186.0,Goalkeeper,36.0,77.0,0.0
25000.0,179.0,Midfield,39.0,0.0,0.0
125000.0,181.0,Defender,36.0,11.0,0.0
200000.0,183.0,Midfield,37.0,22.0,2.0
300000.0,189.0,Goalkeeper,35.0,50.0,0.0
50000.0,186.0,Attack,36.0,6.0,0.0
200000.0,190.0,Goalkeeper,37.0,60.0,0.0
50000.0,185.0,Defender,38.0,3.0,0.0
100000.0,177.0,Attack,36.0,0.0,0.0
400000.0,178.0,Midfield,35.0,79.0,12.0
150000.0,187.0,Goalkeeper,37.0,62.0,0.0
600000.0,183.0,Midfield,36.0,21.0,0.0
75000.0,179.0,Midfield,35.0,0.0,0.0
25000.0,180.0,Defender,40.0,2.0,0.0
75000.0,177.0,Defender,38.0,0.0,0.0
50000.0,178.0,Attack,36.0,32.0,9.0
50000.0,177.0,Midfield,34.0,21.0,3.0
1500000.0,180.0,Attack,40.0,54.0,12.0
10000.0,188.0,Defender,41.0,0.0,0.0
10000.0,187.0,Goalkeeper,42.0,3.0,0.0
700000.0,193.0,Goalkeeper,35.0,0.0,0.0
